filename,source,image_width,image_height,channel_depth,class,x,y,w,h
2007_000027.jpg,flickr,486,500,3,person,261.5,226.0,175.0,250.0
2007_000032.jpg,flickr,500,281,3,aeroplane,239.5,130.5,271.0,105.0
2007_000032.jpg,flickr,500,281,3,aeroplane,165.0,105.5,64.0,35.0
2007_000032.jpg,flickr,500,281,3,person,204.0,204.5,18.0,49.0
2007_000032.jpg,flickr,500,281,3,person,35.0,213.5,18.0,49.0
2007_000033.jpg,flickr,500,366,3,aeroplane,254.0,185.0,490.0,156.0
2007_000033.jpg,flickr,500,366,3,aeroplane,451.5,213.0,61.0,26.0
2007_000033.jpg,flickr,500,366,3,aeroplane,368.0,205.5,86.0,35.0
2007_000039.jpg,flickr,500,375,3,tvmonitor,250.0,184.0,188.0,190.0
2007_000042.jpg,flickr,500,335,3,train,381.5,163.5,237.0,263.0
2007_000042.jpg,flickr,500,335,3,train,118.0,167.5,234.0,263.0
2007_000061.jpg,flickr,500,333,3,boat,355.5,145.0,163.0,268.0
2007_000061.jpg,flickr,500,333,3,boat,232.5,233.0,97.0,38.0
2007_000063.jpg,flickr,500,375,3,dog,251.0,195.0,256.0,160.0
2007_000063.jpg,flickr,500,375,3,chair,251.5,188.0,353.0,374.0
2007_000068.jpg,flickr,500,375,3,bird,146.5,210.0,239.0,330.0
2007_000121.jpg,flickr,500,375,3,tvmonitor,363.0,147.5,224.0,239.0
2007_000121.jpg,flickr,500,375,3,tvmonitor,136.5,150.5,229.0,245.0
2007_000123.jpg,flickr,500,375,3,train,179.5,183.0,357.0,314.0
2007_000129.jpg,flickr,334,500,3,bicycle,162.5,351.0,185.0,298.0
2007_000129.jpg,flickr,334,500,3,bicycle,292.5,371.0,83.0,258.0
2007_000129.jpg,flickr,334,500,3,bicycle,34.0,290.0,66.0,292.0
2007_000129.jpg,flickr,334,500,3,person,33.5,182.0,65.0,362.0
2007_000129.jpg,flickr,334,500,3,person,173.0,231.5,198.0,461.0
2007_000129.jpg,flickr,334,500,3,person,293.0,253.0,82.0,468.0
2007_000170.jpg,flickr,500,375,3,bottle,98.0,132.5,22.0,65.0
2007_000170.jpg,flickr,500,375,3,bottle,57.0,147.5,32.0,67.0
2007_000170.jpg,flickr,500,375,3,bottle,338.0,177.0,28.0,58.0
2007_000170.jpg,flickr,500,375,3,bottle,434.5,176.0,17.0,38.0
2007_000170.jpg,flickr,500,375,3,person,23.0,148.5,40.0,115.0
2007_000170.jpg,flickr,500,375,3,person,232.5,200.0,457.0,344.0
2007_000175.jpg,flickr,500,332,3,sheep,222.0,152.5,394.0,237.0
2007_000187.jpg,flickr,500,375,3,tvmonitor,120.5,215.5,239.0,241.0
2007_000241.jpg,flickr,500,375,3,boat,428.0,231.5,144.0,97.0
2007_000241.jpg,flickr,500,375,3,boat,101.0,161.0,82.0,104.0
2007_000241.jpg,flickr,500,375,3,boat,297.0,175.5,102.0,83.0
2007_000243.jpg,flickr,500,333,3,aeroplane,227.5,160.0,93.0,66.0
2007_000250.jpg,flickr,500,375,3,diningtable,237.5,272.5,473.0,205.0
2007_000250.jpg,flickr,500,375,3,bottle,123.5,210.5,53.0,173.0
2007_000256.jpg,flickr,500,343,3,aeroplane,249.5,164.0,483.0,136.0
2007_000272.jpg,flickr,333,500,3,person,164.5,285.5,279.0,429.0
2007_000323.jpg,flickr,500,375,3,person,388.5,189.0,223.0,372.0
2007_000323.jpg,flickr,500,375,3,person,158.5,189.0,293.0,372.0
2007_000332.jpg,flickr,500,333,3,horse,169.5,156.0,231.0,212.0
2007_000333.jpg,flickr,500,333,3,train,184.0,154.5,366.0,231.0
2007_000346.jpg,flickr,500,375,3,bottle,177.0,225.0,106.0,236.0
2007_000346.jpg,flickr,500,375,3,person,317.0,226.5,360.0,297.0
2007_000346.jpg,flickr,500,375,3,person,109.0,224.5,40.0,45.0
2007_000346.jpg,flickr,500,375,3,person,91.5,234.0,39.0,50.0
2007_000363.jpg,flickr,500,333,3,bird,139.5,127.0,161.0,224.0
2007_000363.jpg,flickr,500,333,3,bird,330.5,227.5,339.0,211.0
2007_000364.jpg,flickr,500,375,3,motorbike,254.0,170.0,400.0,290.0
2007_000364.jpg,flickr,500,375,3,motorbike,403.5,99.0,171.0,124.0
2007_000364.jpg,flickr,500,375,3,person,413.5,65.5,89.0,129.0
2007_000392.jpg,flickr,500,332,3,horse,227.5,210.0,255.0,228.0
2007_000392.jpg,flickr,500,332,3,person,242.0,127.5,88.0,139.0
2007_000423.jpg,flickr,500,375,3,person,86.5,173.0,71.0,186.0
2007_000423.jpg,flickr,500,375,3,person,414.0,203.5,94.0,223.0
